season,competition,round,date,time,home,away,home_score,away_score,penalties,venue_side,attendance,report_url,match_id
2010-11,Ligue 1,15,dim. 28/11/2010,21:00,Lyon,PSG,2,2,non,D,34.965,/spielbericht/index/spielbericht/1042684,1042684
2010-11,Ligue 1,16,sam. 04/12/2010,21:00,Montpellier,Lyon,1,2,non,E,18.990,/spielbericht/index/spielbericht/1042688,1042688
2010-11,UEFA Champions League,Phase de groupe,mar. 07/12/2010,20:45,Lyon,Hapoel Tel Aviv,2,2,non,D,32.247,/spielbericht/index/spielbericht/1050152,1050152
2010-11,Ligue 1,17,dim. 12/12/2010,17:00,Lyon,Toulouse,2,0,non,D,32.544,/spielbericht/index/spielbericht/1042701,1042701
2010-11,Ligue 1,18,dim. 19/12/2010,21:00,Marseille,Lyon,1,1,non,E,54.290,/spielbericht/index/spielbericht/1043133,1043133
2010-11,Ligue 1,19,mer. 22/12/2010,19:00,Lyon,AJ Auxerre,1,1,non,D,38.838,/spielbericht/index/spielbericht/1043140,1043140
2010-11,Coupe de France,5e tour,sam. 08/01/2011,20:45,SM Caen,Lyon,0,1,non,E,10.227,/spielbericht/index/spielbericht/1072301,1072301
2010-11,Ligue 1,20,sam. 15/01/2011,21:00,Lyon,FC Lorient,3,0,non,D,32.722,/spielbericht/index/spielbericht/1043147,1043147
2010-11,Coupe de France,6e tour,dim. 23/01/2011,20:45,OGC Nice,Lyon,1,0,non,E,5.606,/spielbericht/index/spielbericht/1074089,1074089
2010-11,Ligue 1,21,sam. 29/01/2011,19:00,Valenciennes FC,Lyon,2,1,non,E,11.065,/spielbericht/index/spielbericht/1043163,1043163
2010-11,Ligue 1,22,dim. 06/02/2011,21:00,Lyon,G. Bordeaux,0,0,non,D,35.909,/spielbericht/index/spielbericht/1043189,1043189
2010-11,Ligue 1,23,sam. 12/02/2011,21:00,Saint-Étienne,Lyon,1,4,non,E,34.686,/spielbericht/index/spielbericht/1043447,1043447
2010-11,Ligue 1,24,ven. 18/02/2011,20:45,Lyon,AS Nancy,4,0,non,D,31.957,/spielbericht/index/spielbericht/1043455,1043455
2010-11,UEFA Champions League,Huitièmes de finale,mar. 22/02/2011,20:45,Lyon,Real Madrid,1,1,non,D,40.299,/spielbericht/index/spielbericht/1069435,1069435
2010-11,Ligue 1,25,dim. 27/02/2011,21:00,LOSC Lille,Lyon,1,1,non,E,17.166,/spielbericht/index/spielbericht/1043462,1043462
2010-11,Ligue 1,26,dim. 06/03/2011,17:00,Lyon,AC Arles-Avignon,5,0,non,D,36.786,/spielbericht/index/spielbericht/1043474,1043474
2010-11,Ligue 1,27,sam. 12/03/2011,19:00,FC Sochaux,Lyon,0,2,non,E,17.879,/spielbericht/index/spielbericht/1043489,1043489
2010-11,UEFA Champions League,Huitièmes de finale,mer. 16/03/2011,20:45,Real Madrid,Lyon,3,0,non,E,70.034,/spielbericht/index/spielbericht/1083674,1083674
2010-11,Ligue 1,28,sam. 19/03/2011,21:00,Lyon,Stade Rennais,1,1,non,D,35.504,/spielbericht/index/spielbericht/1043494,1043494
2010-11,Ligue 1,29,dim. 03/04/2011,17:00,OGC Nice,Lyon,2,2,non,E,8.856,/spielbericht/index/spielbericht/1043504,1043504
2010-11,Ligue 1,30,dim. 10/04/2011,21:00,Lyon,RC Lens,3,0,non,D,34.429,/spielbericht/index/spielbericht/1043515,1043515
2010-11,Ligue 1,31,dim. 17/04/2011,21:00,PSG,Lyon,1,0,non,E,40.133,/spielbericht/index/spielbericht/1043525,1043525
2010-11,Ligue 1,32,mer. 27/04/2011,19:00,Lyon,Montpellier,3,2,non,D,34.849,/spielbericht/index/spielbericht/1043535,1043535
2010-11,Ligue 1,33,dim. 01/05/2011,17:00,Toulouse,Lyon,2,0,non,E,20.785,/spielbericht/index/spielbericht/1043549,1043549
