match_id,season,competition,date,home,away,running_score,scoring_team,scorer,assist,detail
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,6:7,Olympique Lyonnais,Karl Toko Ekambi,,"Karl Toko Ekambi , But"
3394925,2020-21,Ligue 1,dim. 11/04/2021,Lyon,Angers SCO,1:0,Olympique Lyonnais,Memphis Depay,,"Memphis Depay , Tir du pied droit, 15. But de la saison"
3394925,2020-21,Ligue 1,dim. 11/04/2021,Lyon,Angers SCO,2:0,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , Tir du pied droit, 6. But de la saison"
3394925,2020-21,Ligue 1,dim. 11/04/2021,Lyon,Angers SCO,3:0,Olympique Lyonnais,Memphis Depay,Lucas Paquetá,"Memphis Depay , Tir du pied droit, 16. But de la saison Passe décisive: Lucas Paquetá , Passe, 3. Passe décisive de la saison"
3394940,2020-21,Ligue 1,dim. 18/04/2021,FC Nantes,Lyon,0:1,Olympique Lyonnais,Memphis Depay,Lucas Paquetá,"Memphis Depay , Tir du pied droit, 17. But de la saison Passe décisive: Lucas Paquetá , Passe, 4. Passe décisive de la saison"
3394940,2020-21,Ligue 1,dim. 18/04/2021,FC Nantes,Lyon,0:2,Olympique Lyonnais,Memphis Depay,Karl Toko Ekambi,"Memphis Depay , Penalty, 18. But de la saison Passe décisive: Karl Toko Ekambi , Pénalty: faute subie"
3394940,2020-21,Ligue 1,dim. 18/04/2021,FC Nantes,Lyon,1:2,FC Nantes,Nicolas Pallois,,"Nicolas Pallois , Tir du pied droit, 2. But de la saison"
3549065,2020-21,Coupe de France,mer. 21/04/2021,Lyon,Monaco,0:1,AS Monaco,Wissam Ben Yedder,Fodé Ballo-Touré,"Wissam Ben Yedder , Penalty, 1. But dans le tournoi Passe décisive: Fodé Ballo-Touré , Pénalty: faute subie"
3549065,2020-21,Coupe de France,mer. 21/04/2021,Lyon,Monaco,0:2,AS Monaco,Kevin Volland,Wissam Ben Yedder,"Kevin Volland , Tir du pied droit, 2. But dans le tournoi Passe décisive: Wissam Ben Yedder , Passe, 1. Passe déc. du tournoi"
3394945,2020-21,Ligue 1,dim. 25/04/2021,Lyon,LOSC Lille,1:0,Olympique Lyonnais,Islam Slimani,Maxence Caqueret,"Islam Slimani , Tir du pied droit, 2. But de la saison Passe décisive: Maxence Caqueret , Passe, 1. Passe décisive de la saison"
3394945,2020-21,Ligue 1,dim. 25/04/2021,Lyon,LOSC Lille,2:0,Olympique Lyonnais,José Fonte,,"José Fonte , Contre-son-camp"
3394945,2020-21,Ligue 1,dim. 25/04/2021,Lyon,LOSC Lille,2:1,LOSC Lille,Burak Yılmaz,,"Burak Yılmaz , Coup-franc direct, 11. But de la saison"
3394945,2020-21,Ligue 1,dim. 25/04/2021,Lyon,LOSC Lille,2:2,LOSC Lille,Jonathan David,Burak Yılmaz,"Jonathan David , Tir du pied gauche, 11. But de la saison Passe décisive: Burak Yılmaz , Passe, 5. Passe décisive de la saison"
3394945,2020-21,Ligue 1,dim. 25/04/2021,Lyon,LOSC Lille,2:3,LOSC Lille,Burak Yılmaz,,"Burak Yılmaz , Tir du pied droit, 12. But de la saison"
3394963,2020-21,Ligue 1,dim. 02/05/2021,Monaco,Lyon,1:0,AS Monaco,Kevin Volland,Wissam Ben Yedder,"Kevin Volland , Tir du pied droit, 16. But de la saison Passe décisive: Wissam Ben Yedder , Passe, 6. Passe décisive de la saison"
3394963,2020-21,Ligue 1,dim. 02/05/2021,Monaco,Lyon,1:1,Olympique Lyonnais,Memphis Depay,Karl Toko Ekambi,"Memphis Depay , Tir du pied gauche, 19. But de la saison Passe décisive: Karl Toko Ekambi , Passe, 8. Passe décisive de la saison"
3394963,2020-21,Ligue 1,dim. 02/05/2021,Monaco,Lyon,1:2,Olympique Lyonnais,Marcelo,Memphis Depay,"Marcelo , Tête, 3. But de la saison Passe décisive: Memphis Depay , Centre, 10. Passe décisive de la saison"
3394963,2020-21,Ligue 1,dim. 02/05/2021,Monaco,Lyon,2:2,AS Monaco,Wissam Ben Yedder,Pietro Pellegri,"Wissam Ben Yedder , Penalty, 19. But de la saison Passe décisive: Pietro Pellegri , Pénalty: faute subie"
3394963,2020-21,Ligue 1,dim. 02/05/2021,Monaco,Lyon,2:3,Olympique Lyonnais,Rayan Cherki,Mattia De Sciglio,"Rayan Cherki , Tir du pied gauche, 1. But de la saison Passe décisive: Mattia De Sciglio , Passe, 1. Passe décisive de la saison"
3394977,2020-21,Ligue 1,sam. 08/05/2021,Lyon,FC Lorient,1:0,Olympique Lyonnais,Houssem Aouar,Rayan Cherki,"Houssem Aouar , 6. But de la saison Passe décisive: Rayan Cherki , 3. Passe décisive de la saison"
3394977,2020-21,Ligue 1,sam. 08/05/2021,Lyon,FC Lorient,2:0,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , 7. But de la saison"
3394977,2020-21,Ligue 1,sam. 08/05/2021,Lyon,FC Lorient,3:0,Olympique Lyonnais,Bruno Guimarães,Bruno Guimarães,"Bruno Guimarães , Penalty, 2. But de la saison Passe décisive: Bruno Guimarães , Pénalty: faute subie"
3394977,2020-21,Ligue 1,sam. 08/05/2021,Lyon,FC Lorient,4:0,Olympique Lyonnais,Bruno Guimarães,Islam Slimani,"Bruno Guimarães , 3. But de la saison Passe décisive: Islam Slimani , 1. Passe décisive de la saison"
3394977,2020-21,Ligue 1,sam. 08/05/2021,Lyon,FC Lorient,4:1,FC Lorient,Thomas Monconduit,Trevoh Chalobah,"Thomas Monconduit , 2. But de la saison Passe décisive: Trevoh Chalobah , 2. Passe décisive de la saison"
3394992,2020-21,Ligue 1,dim. 16/05/2021,Nîmes Olympique,Lyon,1:0,Nîmes Olympique,Moussa Koné,,"Moussa Koné , Tir du pied droit, 8. But de la saison"
3394992,2020-21,Ligue 1,dim. 16/05/2021,Nîmes Olympique,Lyon,1:1,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , Tir du pied gauche, 8. But de la saison"
3394992,2020-21,Ligue 1,dim. 16/05/2021,Nîmes Olympique,Lyon,1:2,Olympique Lyonnais,Memphis Depay,Léo Dubois,"Memphis Depay , Tir du pied droit, 20. But de la saison Passe décisive: Léo Dubois , Passe, 5. Passe décisive de la saison"
3394992,2020-21,Ligue 1,dim. 16/05/2021,Nîmes Olympique,Lyon,1:3,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , Tir du pied droit, 9. But de la saison"
3394992,2020-21,Ligue 1,dim. 16/05/2021,Nîmes Olympique,Lyon,1:4,Olympique Lyonnais,Houssem Aouar,Lucas Paquetá,"Houssem Aouar , Tir du pied droit, 7. But de la saison Passe décisive: Lucas Paquetá , Passe, 5. Passe décisive de la saison"
3394992,2020-21,Ligue 1,dim. 16/05/2021,Nîmes Olympique,Lyon,2:4,Nîmes Olympique,Moussa Koné,Lamine Fomba,"Moussa Koné , Tir du pied droit, 9. But de la saison Passe décisive: Lamine Fomba , 1. Passe décisive de la saison"
3394992,2020-21,Ligue 1,dim. 16/05/2021,Nîmes Olympique,Lyon,2:5,Olympique Lyonnais,Islam Slimani,Rayan Cherki,"Islam Slimani , Tête, 3. But de la saison Passe décisive: Rayan Cherki , Centre, 4. Passe décisive de la saison"
3394994,2020-21,Ligue 1,dim. 23/05/2021,Lyon,OGC Nice,1:0,Olympique Lyonnais,Karl Toko Ekambi,Memphis Depay,"Karl Toko Ekambi , Tête, 13. But de la saison Passe décisive: Memphis Depay , Corner, 11. Passe décisive de la saison"
3394994,2020-21,Ligue 1,dim. 23/05/2021,Lyon,OGC Nice,1:1,OGC Nice,Kasper Dolberg,,"Kasper Dolberg , Tir du pied droit, 6. But de la saison"
3394994,2020-21,Ligue 1,dim. 23/05/2021,Lyon,OGC Nice,2:1,Olympique Lyonnais,Karl Toko Ekambi,Memphis Depay,"Karl Toko Ekambi , Tête, 14. But de la saison Passe décisive: Memphis Depay , Passe, 12. Passe décisive de la saison"
3394994,2020-21,Ligue 1,dim. 23/05/2021,Lyon,OGC Nice,2:2,OGC Nice,Hassane Kamara,,"Hassane Kamara , Tir du pied gauche, 2. But de la saison"
3394994,2020-21,Ligue 1,dim. 23/05/2021,Lyon,OGC Nice,2:3,OGC Nice,William Saliba,Amine Gouiri,"William Saliba , Tête, 1. But de la saison Passe décisive: Amine Gouiri , Centre, 6. Passe décisive de la saison"
