match_id,side,minute,player_in,player_out,reason
4635021,ol,73,Nicolás Tagliafico,Abner,Tactique
4635021,ol,73,Adam Karabec,Pavel Sulc,Tactique
4635021,ol,74,Khalis Merah,Corentin Tolisso,Tactique
4635021,adv,79,Idrissa Gueye,Brian Madjo,Tactique
4635021,ol,85,Ruben Kluivert,Clinton Mata,Tactique
4635021,ol,85,Afonso Moreira,Malick Fofana,Tactique
4635007,adv,56,Florian Thauvin,Rayan Fofana,Tactique
4635007,ol,65,Khalis Merah,Saël Kumbedi,Tactique
4635007,adv,75,Anthony Bermont,Deiver Machado,Tactique
4635007,adv,85,Florian Sotoca,Wesley Saïd,Tactique
4635007,adv,85,Saud Abdulhamid,Ruben Aguilar,Tactique
4635007,ol,2,Pavel Sulc,Malick Fofana,Tactique
4635007,ol,2,Adam Karabec,Georges Mikautadze,Tactique
4364041,adv,61,Farid El Melali,Jacques Ekomié,Tactique
4364041,adv,61,Enzo Caumont,Zinédine Ould Khaled,Tactique
4364041,ol,68,Nemanja Matić,Tanner Tessmann,Tactique
4364041,adv,72,Emmanuel Biumla,Ousmane Camara,Tactique
4364041,ol,77,Corentin Tolisso,Thiago Almada,Tactique
4364041,ol,78,Georges Mikautadze,Alexandre Lacazette,Tactique
4364041,adv,83,Lanroy Machine,Lilian Raolisoa,Tactique
4364041,adv,83,Prosper Peter,Estéban Lepaul,Tactique
4364041,ol,88,Téo Barišić,Duje Caleta-Car,Tactique
4364041,ol,89,Abner,Rayan Cherki,Tactique
4364039,ol,21,Duje Caleta-Car,Clinton Mata,Blessure
4364039,ol,64,Rayan Cherki,Nemanja Matić,Tactique
4364039,adv,75,Vanderson,Jordan Teze,Tactique
4364039,adv,75,Eliesse Ben Seghir,Mika Biereth,Tactique
4364039,ol,75,Georges Mikautadze,Jordan Veretout,Tactique
4364039,adv,77,Soungoutou Magassa,Lamine Camara,Tactique
4364039,adv,85,Krépin Diatta,Takumi Minamino,Tactique
4364039,adv,85,Christian Mawissa,Denis Zakaria,Blessure
4364022,adv,69,Martín Satriano,Goduine Koyalipou,Tactique
4364022,adv,69,Hamzat Ojediran,Tom Pouilly,Tactique
4364022,adv,70,Anass Zaroury,Andy Diouf,Tactique
